tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Noch	Noch	noch	ADV	ADV	yes	-	-	-	-	-
giebt	gibt	geben	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
es	es	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	-	-	-	-	-
Scharen	Scharen	Scharen	NN	N.Reg.Acc.Pl.Fem	no	-	-	-	-	-
von	von	von	APPR	APPR.Dat	no	-	-	-	-	-
Arbeitern	Arbeitern	Arbeiter	NN	N.Reg.Dat.Pl.Masc	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	die	der	PRELS	PRO.Rel.Subst.-.Acc.Pl.Masc	no	-	-	-	-	-
selten	selten	selten	ADJD	ADJD.Pos	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
noch	noch	noch	ADV	ADV	no	-	-	-	-	-
giebt	gibt	geben	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
es	es	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	-	-	-	-	-
tausende	tausende	tausend	ADJA	ADJA.Pos.Acc.Pl.Fem	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	die	der	PRELS	PRO.Rel.Subst.-.Nom.Pl.Fem	no	-	-	-	-	-
nie	nie	nie	ADV	ADV	no	-	-	-	-	-
einen	einen	ein	ART	ART.Indef.Acc.Sg.Masc	no	-	-	-	-	-
Sonntag	Sonntag	Sonntag	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
haben	haben	haben	VAFIN	VFIN.Haben.3.Pl.Pres.Ind	no	-	-	-	-	-
;	;	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
zu	zu	zu	APPR	APPR.Dat	no	-	-	-	-	-
ihnen	ihnen	ihnen	PPER	PRO.Pers.Subst.3.Dat.Pl.*	no	-	-	-	-	-
gehören	gehören	gehören	VVFIN	VFIN.Full.3.Pl.Pres.Ind	no	-	-	-	-	-
die	die	der	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
meisten	meisten	meister	PIAT	PRO.Indef.Attr.-.Nom.Pl.Masc	no	-	-	-	-	-
Bäcker	Bäcker	Bäcker	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
die	die	der	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
Kellner	Kellner	Kellner	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Wir	Wir	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	yes	-	-	-	-	-
kennen	kennen	kennen	VVFIN	VFIN.Full.1.Pl.Pres.Ind	no	-	-	-	-	-
persönlich	persönlich	persönlich	ADJD	ADJD.Pos	no	-	-	-	-	-
Knaben	Knaben	Knabe	NN	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
von	von	von	APPR	APPR.Dat	no	-	-	-	-	-
vierzehn	vierzehn	vierzehn	CARD	CARD	no	-	-	-	-	-
bis	bis	bis	APPR	CONJ.Coord.Bis	no	-	-	-	-	-
siebzehn	siebzehn	siebzehn	CARD	CARD	no	-	-	-	-	-
Jahren	Jahren	Jahr	NN	N.Reg.Dat.Pl.Neut	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	die	der	PRELS	PRO.Rel.Subst.-.Nom.Pl.Neut	no	-	-	-	-	-
im	im	in	APPRART	APPRART.Dat.Sg.Neut	no	-	-	-	-	-
Jahre	Jahre	Jahr	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
365	365	365	CARD	CARD	no	-	-	-	-	-
sechzehn-	sechzehn-	sechzehn	TRUNC	TRUNC.Adj	no	-	-	-	-	-
bis	bis	bis	KON	CONJ.Coord.Bis	no	-	-	-	-	-
achtzehnstündige	achtzehnstündige	achtzehnstündig	ADJA	ADJA.Pos.Acc.Pl.Masc	no	-	-	-	-	-
Arbeitstage	Arbeitstage	Arbeitstag	NN	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
haben	haben	haben	VAFIN	VINF.Haben.-	no	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
In	In	in	APPR	APPR.In	yes	-	frame.1	-	-	-
einer	einer	ein	ART	ART.Indef.Dat.Sg.Fem	no	-	frame.1	-	-	-
neuern	neueren	neu	ADJA	ADJA.Comp.Dat.Sg.Fem	no	-	frame.1	-	-	-
Petition	Petition	Petition	NN	N.Reg.Dat.Sg.Fem	no	-	frame.1	-	-	-
von	von	von	APPR	APPR.Dat	no	-	frame.1	-	-	-
Bäckermeistern	Bäckermeistern	Bäckermeister	NN	N.Reg.Dat.Pl.Masc	no	-	frame.1	speaker.1	-	-
wird	wird	werden	VAFIN	VFIN.Aux.3.Sg.Pres.Ind	no	-	frame.1	-	-	-
gebeten	gebeten	bitten	VVPP	VPP.Full.Psp	no	-	frame.1	-	intexpr.1	-
,	,	--	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
die	die	der	ART	ART.Def.Acc.Sg.Fem	no	indirect.writing.1	-	-	-	-
Bäckereiverordnung	Bäckereiverordnung	Bäckereiverordnung	NN	N.Reg.Acc.Sg.Fem	no	indirect.writing.1	-	-	-	-
entweder	entweder	entweder	KON	ADV	no	indirect.writing.1	-	-	-	-
aufzuheben	aufzuheben	aufheben	VVIZU	VINF.Full.zu	no	indirect.writing.1	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	indirect.writing.1	-	-	-	-
oder	oder	oder	KON	CONJ.Coord.-	no	indirect.writing.1|reported.speech writing.2.nonfact	-	-	-	-
wenigstens	wenigstens	wenigstens	ADV	ADV	no	indirect.writing.1|reported.speech writing.2.nonfact	-	-	-	-
statt	statt	statt	APPR	APPR.Gen	no	indirect.writing.1|reported.speech writing.2.nonfact	-	-	-	-
des	des	der	ART	ART.Def.Gen.Sg.Masc	no	indirect.writing.1|reported.speech writing.2.nonfact	-	-	-	-
Maximalarbeitstages	Maximalarbeitstages	Maximalarbeitstag	NN	N.Reg.Gen.Sg.Masc	no	indirect.writing.1|reported.speech writing.2.nonfact	-	-	-	-
nur	nur	nur	ADV	ADV	no	indirect.writing.1|reported.speech writing.2.nonfact	-	-	-	-
eine	eine	ein	ART	ART.Indef.Acc.Sg.Fem	no	indirect.writing.1|reported.speech writing.2.nonfact	-	-	-	-
Minimalarbeitsruhe	Minimalarbeitsruhe	Minimalarbeitsruhe	NN	N.Reg.Acc.Sg.Fem	no	indirect.writing.1|reported.speech writing.2.nonfact	-	-	-	-
von	von	von	APPR	APPR.Dat	no	indirect.writing.1|reported.speech writing.2.nonfact	-	-	-	-
acht	acht	acht	CARD	CARD	no	indirect.writing.1|reported.speech writing.2.nonfact	-	-	-	-
bis	bis	bis	APPR	CONJ.Coord.Bis	no	indirect.writing.1|reported.speech writing.2.nonfact	-	-	-	-
neun	neun	neun	CARD	CARD	no	indirect.writing.1|reported.speech writing.2.nonfact	-	-	-	-
Stunden	Stunden	Stunde	NN	N.Reg.Dat.Pl.Fem	no	indirect.writing.1|reported.speech writing.2.nonfact	-	-	-	-
anzuordnen	anzuordnen	anordnen	VVIZU	VINF.Full.zu	no	indirect.writing.1|reported.speech writing.2.nonfact	-	-	intexpr.2	-
.	.	--	$.	SYM.Pun.Sent	no	indirect.writing.1|reported.speech writing.2.nonfact	-	-	-	-
